Frequency,Magnitude_Phase
Freq.,mag(V(input)/I(R1))
1.14815362149688e+03,"(5.99950101183412e+01dB,0.00000000000000e+00°)"
1.17489755493953e+03,"(5.99947750938698e+01dB,0.00000000000000e+00°)"
1.20226443461741e+03,"(5.99945290066675e+01dB,0.00000000000000e+00°)"
1.23026877081238e+03,"(5.99942713366772e+01dB,0.00000000000000e+00°)"
1.25892541179416e+03,"(5.99940015394588e+01dB,0.00000000000000e+00°)"
1.28824955169313e+03,"(5.99937190450523e+01dB,0.00000000000000e+00°)"
1.31825673855640e+03,"(5.99934232567879e+01dB,0.00000000000000e+00°)"
1.34896288259165e+03,"(5.99931135500426e+01dB,0.00000000000000e+00°)"
1.38038426460288e+03,"(5.99927892709382e+01dB,0.00000000000000e+00°)"
1.41253754462275e+03,"(5.99924497349803e+01dB,0.00000000000000e+00°)"
1.44543977074592e+03,"(5.99920942256347e+01dB,0.00000000000000e+00°)"
1.47910838816820e+03,"(5.99917219928384e+01dB,0.00000000000000e+00°)"
1.51356124843620e+03,"(5.99913322514428e+01dB,0.00000000000000e+00°)"
1.54881661891248e+03,"(5.99909241795848e+01dB,0.00000000000000e+00°)"
1.58489319246111e+03,"(5.99904969169851e+01dB,0.00000000000000e+00°)"
1.62181009735892e+03,"(5.99900495631675e+01dB,0.00000000000000e+00°)"
1.65958690743755e+03,"(5.99895811755982e+01dB,0.00000000000000e+00°)"
1.69824365246174e+03,"(5.99890907677396e+01dB,0.00000000000000e+00°)"
1.73780082874937e+03,"(5.99885773070172e+01dB,0.00000000000000e+00°)"
1.77827941003892e+03,"(5.99880397126933e+01dB,0.00000000000000e+00°)"
1.81970085860998e+03,"(5.99874768536450e+01dB,0.00000000000000e+00°)"
1.86208713666286e+03,"(5.99868875460428e+01dB,0.00000000000000e+00°)"
1.90546071796324e+03,"(5.99862705509236e+01dB,0.00000000000000e+00°)"
1.94984459975804e+03,"(5.99856245716561e+01dB,0.00000000000000e+00°)"
1.99526231496887e+03,"(5.99849482512913e+01dB,0.00000000000000e+00°)"
2.04173794466952e+03,"(5.99842401697965e+01dB,0.00000000000000e+00°)"
2.08929613085403e+03,"(5.99834988411645e+01dB,0.00000000000000e+00°)"
2.13796208950222e+03,"(5.99827227103955e+01dB,0.00000000000000e+00°)"
2.18776162394954e+03,"(5.99819101503451e+01dB,0.00000000000000e+00°)"
2.23872113856833e+03,"(5.99810594584331e+01dB,0.00000000000000e+00°)"
2.29086765276776e+03,"(5.99801688532079e+01dB,0.00000000000000e+00°)"
2.34422881531991e+03,"(5.99792364707599e+01dB,0.00000000000000e+00°)"
2.39883291901948e+03,"(5.99782603609788e+01dB,0.00000000000000e+00°)"
2.45470891568502e+03,"(5.99772384836473e+01dB,0.00000000000000e+00°)"
2.51188643150957e+03,"(5.99761687043666e+01dB,0.00000000000000e+00°)"
2.57039578276885e+03,"(5.99750487903054e+01dB,0.00000000000000e+00°)"
2.63026799189537e+03,"(5.99738764057664e+01dB,0.00000000000000e+00°)"
2.69153480392690e+03,"(5.99726491075637e+01dB,0.00000000000000e+00°)"
2.75422870333815e+03,"(5.99713643402033e+01dB,0.00000000000000e+00°)"
2.81838293126444e+03,"(5.99700194308597e+01dB,0.00000000000000e+00°)"
2.88403150312659e+03,"(5.99686115841414e+01dB,0.00000000000000e+00°)"
2.95120922666637e+03,"(5.99671378766373e+01dB,0.00000000000000e+00°)"
3.01995172040200e+03,"(5.99655952512367e+01dB,0.00000000000000e+00°)"
3.09029543251358e+03,"(5.99639805112145e+01dB,0.00000000000000e+00°)"
3.16227766016836e+03,"(5.99622903140745e+01dB,0.00000000000000e+00°)"
3.23593656929627e+03,"(5.99605211651410e+01dB,0.00000000000000e+00°)"
3.31131121482590e+03,"(5.99586694108935e+01dB,0.00000000000000e+00°)"
3.38844156139201e+03,"(5.99567312320327e+01dB,0.00000000000000e+00°)"
3.46736850452530e+03,"(5.99547026362725e+01dB,0.00000000000000e+00°)"
3.54813389233574e+03,"(5.99525794508485e+01dB,0.00000000000000e+00°)"
3.63078054770100e+03,"(5.99503573147346e+01dB,0.00000000000000e+00°)"
3.71535229097171e+03,"(5.99480316705601e+01dB,0.00000000000000e+00°)"
3.80189396320559e+03,"(5.99455977562190e+01dB,0.00000000000000e+00°)"
3.89045144994279e+03,"(5.99430505961643e+01dB,0.00000000000000e+00°)"
3.98107170553495e+03,"(5.99403849923780e+01dB,0.00000000000000e+00°)"
4.07380277804111e+03,"(5.99375955150119e+01dB,0.00000000000000e+00°)"
4.16869383470333e+03,"(5.99346764926891e+01dB,0.00000000000000e+00°)"
4.26579518801591e+03,"(5.99316220024629e+01dB,0.00000000000000e+00°)"
4.36515832240164e+03,"(5.99284258594243e+01dB,0.00000000000000e+00°)"
4.46683592150961e+03,"(5.99250816059530e+01dB,0.00000000000000e+00°)"
4.57088189614873e+03,"(5.99215825006087e+01dB,0.00000000000000e+00°)"
4.67735141287196e+03,"(5.99179215066561e+01dB,0.00000000000000e+00°)"
4.78630092322636e+03,"(5.99140912802216e+01dB,0.00000000000000e+00°)"
4.89778819368444e+03,"(5.99100841580792e+01dB,0.00000000000000e+00°)"
5.01187233627270e+03,"(5.99058921450647e+01dB,0.00000000000000e+00°)"
5.12861383991362e+03,"(5.99015069011169e+01dB,0.00000000000000e+00°)"
5.24807460249770e+03,"(5.98969197279490e+01dB,0.00000000000000e+00°)"
5.37031796370250e+03,"(5.98921215553523e+01dB,0.00000000000000e+00°)"
5.49540873857622e+03,"(5.98871029271367e+01dB,0.00000000000000e+00°)"
5.62341325190346e+03,"(5.98818539867159e+01dB,0.00000000000000e+00°)"
5.75439937337154e+03,"(5.98763644623443e+01dB,0.00000000000000e+00°)"
5.88843655355586e+03,"(5.98706236520197e+01dB,0.00000000000000e+00°)"
6.02559586074354e+03,"(5.98646204080620e+01dB,0.00000000000000e+00°)"
6.16595001861479e+03,"(5.98583431213881e+01dB,0.00000000000000e+00°)"
6.30957344480190e+03,"(5.98517797055001e+01dB,0.00000000000000e+00°)"
6.45654229034652e+03,"(5.98449175802121e+01dB,0.00000000000000e+00°)"
6.60693448007592e+03,"(5.98377436551400e+01dB,0.00000000000000e+00°)"
6.76082975391978e+03,"(5.98302443129877e+01dB,0.00000000000000e+00°)"
6.91830970918932e+03,"(5.98224053926621e+01dB,0.00000000000000e+00°)"
7.07945784384134e+03,"(5.98142121722589e+01dB,0.00000000000000e+00°)"
7.24435960074986e+03,"(5.98056493519613e+01dB,0.00000000000000e+00°)"
7.41310241300913e+03,"(5.97967010369033e+01dB,0.00000000000000e+00°)"
7.58577575029179e+03,"(5.97873507200513e+01dB,0.00000000000000e+00°)"
7.76247116628687e+03,"(5.97775812651661e+01dB,0.00000000000000e+00°)"
7.94328234724277e+03,"(5.97673748899128e+01dB,0.00000000000000e+00°)"
8.12830516164094e+03,"(5.97567131491913e+01dB,0.00000000000000e+00°)"
8.31763771102666e+03,"(5.97455769187700e+01dB,0.00000000000000e+00°)"
8.51138038202371e+03,"(5.97339463793096e+01dB,0.00000000000000e+00°)"
8.70963589956075e+03,"(5.97218010008733e+01dB,0.00000000000000e+00°)"
8.91250938133740e+03,"(5.97091195280264e+01dB,0.00000000000000e+00°)"
9.12010839355904e+03,"(5.96958799656367e+01dB,0.00000000000000e+00°)"
9.33254300796985e+03,"(5.96820595654963e+01dB,0.00000000000000e+00°)"
9.54992586021430e+03,"(5.96676348138908e+01dB,0.00000000000000e+00°)"
9.77237220955804e+03,"(5.96525814202545e+01dB,0.00000000000000e+00°)"
9.99999999999993e+03,"(5.96368743070553e+01dB,0.00000000000000e+00°)"
1.02329299228075e+04,"(5.96204876010616e+01dB,0.00000000000000e+00°)"
1.04712854805089e+04,"(5.96033946261558e+01dB,0.00000000000000e+00°)"
1.07151930523760e+04,"(5.95855678978592e+01dB,0.00000000000000e+00°)"
1.09647819614318e+04,"(5.95669791197501e+01dB,0.00000000000000e+00°)"
1.12201845430196e+04,"(5.95475991819548e+01dB,0.00000000000000e+00°)"
1.14815362149688e+04,"(5.95273981619058e+01dB,0.00000000000000e+00°)"
1.17489755493952e+04,"(5.95063453275599e+01dB,0.00000000000000e+00°)"
1.20226443461740e+04,"(5.94844091432790e+01dB,0.00000000000000e+00°)"
1.23026877081237e+04,"(5.94615572785778e+01dB,0.00000000000000e+00°)"
1.25892541179416e+04,"(5.94377566199430e+01dB,0.00000000000000e+00°)"
1.28824955169313e+04,"(5.94129732859326e+01dB,0.00000000000000e+00°)"
1.31825673855640e+04,"(5.93871726457606e+01dB,0.00000000000000e+00°)"
1.34896288259164e+04,"(5.93603193415686e+01dB,0.00000000000000e+00°)"
1.38038426460288e+04,"(5.93323773145838e+01dB,0.00000000000000e+00°)"
