Freq.	V(input)/I(V1)
1.65958690743755e+03	(7.36409694283944e+01dB,1.45883848118116e+02°)
1.69824365246174e+03	(7.35687577112987e+01dB,1.45313764525875e+02°)
1.73780082874937e+03	(7.34944477526617e+01dB,1.44741424443963e+02°)
1.77827941003892e+03	(7.34180176399568e+01dB,1.44167158729800e+02°)
1.81970085860998e+03	(7.33394475014233e+01dB,1.43591307384236e+02°)
1.86208713666286e+03	(7.32587195991028e+01dB,1.43014218891957e+02°)
1.90546071796324e+03	(7.31758184153834e+01dB,1.42436249514249e+02°)
1.94984459975804e+03	(7.30907307323834e+01dB,1.41857762537549e+02°)
1.99526231496887e+03	(7.30034457035591e+01dB,1.41279127481683e+02°)
2.04173794466952e+03	(7.29139549169794e+01dB,1.40700719272104e+02°)
2.08929613085403e+03	(7.28222524497729e+01dB,1.40122917380886e+02°)
2.13796208950222e+03	(7.27283349133310e+01dB,1.39546104941531e+02°)
2.18776162394954e+03	(7.26322014889257e+01dB,1.38970667842952e+02°)
2.23872113856833e+03	(7.25338539534893e+01dB,1.38396993808223e+02°)
2.29086765276776e+03	(7.24332966953884e+01dB,1.37825471463851e+02°)
2.34422881531991e+03	(7.23305367201193e+01dB,1.37256489405391e+02°)
2.39883291901948e+03	(7.22255836459416e+01dB,1.36690435265271e+02°)
2.45470891568502e+03	(7.21184496895611e+01dB,1.36127694788640e+02°)
2.51188643150957e+03	(7.20091496420610e+01dB,1.35568650922896e+02°)
2.57039578276885e+03	(7.18977008353710e+01dB,1.35013682926393e+02°)
2.63026799189537e+03	(7.17841230996438e+01dB,1.34463165501565e+02°)
2.69153480392690e+03	(7.16684387119881e+01dB,1.33917467957345e+02°)
2.75422870333815e+03	(7.15506723370765e+01dB,1.33376953405451e+02°)
2.81838293126444e+03	(7.14308509602096e+01dB,1.32841977994617e+02°)
2.88403150312659e+03	(7.13090038134740e+01dB,1.32312890186444e+02°)
2.95120922666637e+03	(7.11851622956734e+01dB,1.31790030076019e+02°)
3.01995172040200e+03	(7.10593598867531e+01dB,1.31273728759927e+02°)
3.09029543251358e+03	(7.09316320574593e+01dB,1.30764307753768e+02°)
3.16227766016836e+03	(7.08020161749945e+01dB,1.30262078460740e+02°)
3.23593656929627e+03	(7.06705514054369e+01dB,1.29767341692283e+02°)
3.31131121482590e+03	(7.05372786136862e+01dB,1.29280387241287e+02°)
3.38844156139201e+03	(7.04022402616910e+01dB,1.28801493507811e+02°)
3.46736850452530e+03	(7.02654803056916e+01dB,1.28330927176795e+02°)
3.54813389233574e+03	(7.01270440931818e+01dB,1.27868942946748e+02°)
3.63078054770100e+03	(6.99869782602666e+01dB,1.27415783307984e+02°)
3.71535229097171e+03	(6.98453306300424e+01dB,1.26971678368582e+02°)
3.80189396320559e+03	(6.97021501125922e+01dB,1.26536845725858e+02°)
3.89045144994279e+03	(6.95574866071284e+01dB,1.26111490380860e+02°)
3.98107170553495e+03	(6.94113909067701e+01dB,1.25695804693095e+02°)
4.07380277804111e+03	(6.92639146063845e+01dB,1.25289968372492e+02°)
4.16869383470333e+03	(6.91151100138625e+01dB,1.24894148505403e+02°)
4.26579518801591e+03	(6.89650300651440e+01dB,1.24508499611325e+02°)
4.36515832240164e+03	(6.88137282432497e+01dB,1.24133163726902e+02°)
