Frequency,Magnitude (dB),Phase (deg),Magnitude (linear)
1778.27941003892,59.9880397126933,0.0,998.6239686375242
1819.70085860998,59.987476853645,0.0,998.5592583604608
1862.08713666286,59.9868875460428,0.0,998.4915118630114
1905.46071796324,59.9862705509236,0.0,998.420587348108
1949.84459975804,59.9856245716561,0.0,998.346336460291
1995.26231496887,59.9849482512913,0.0,998.2686039884046
2041.73794466952,59.9842401697965,0.0,998.187227555613
2089.29613085403,59.9834988411645,0.0,998.1020372958608
2137.96208950222,59.9827227103955,0.0,998.0128555165447
2187.76162394954,59.9819101503451,0.0,997.9194963467404
2238.72113856833,59.9810594584331,0.0,997.8217653704576
2290.86765276776,59.9801688532079,0.0,997.7194592444158
2344.22881531991,59.9792364707599,0.0,997.6123652997038
2398.83291901948,59.9782603609788,0.0,997.5002611268354
2454.70891568502,59.9772384836473,0.0,997.382914143487
2511.88643150957,59.9761687043666,0.0,997.2600811445102
2570.39578276885,59.9750487903054,0.0,997.1315078334266
2630.26799189537,59.9738764057664,0.0,996.9969283348821
2691.5348039269,59.9726491075637,0.0,996.856064687479
2754.22870333815,59.9713643402033,0.0,996.708626316288
2818.38293126444,59.9700194308597,0.0,996.5543094844518
2884.03150312659,59.9686115841414,0.0,996.3927967232952
2951.20922666637,59.9671378766373,0.0,996.2237562402705
3019.951720402,59.9655952512367,0.0,996.0468413041714
3090.29543251358,59.9639805112145,0.0,995.8616896069828
3162.27766016836,59.9622903140745,0.0,995.6679226018505
3235.93656929627,59.960521165141,0.0,995.4651448164255
3311.3112148259,59.9586694108935,0.0,995.2529431413753
3388.44156139201,59.9567312320327,0.0,995.030886093131
3467.3685045253,59.9547026362725,0.0,994.7985230507277
3548.13389233574,59.9525794508485,0.0,994.5553834661564
3630.780547701,59.9503573147346,0.0,994.3009760478099
3715.35229097171,59.9480316705601,0.0,994.0347879167446
3801.89396320559,59.945597756219,0.0,993.7562837354602
3890.45144994279,59.9430505961643,0.0,993.4649048090657
