Freq.	mag(V(input)/I(R1))
6.30957344480192e+002	9.85730323198274e+002,0.00000000000000e+000
6.45654229034654e+002	9.85079499708424e+002,0.00000000000000e+000
6.60693448007594e+002	9.84400021903137e+002,0.00000000000000e+000
6.76082975391980e+002	9.83690723479983e+002,0.00000000000000e+000
6.91830970918935e+002	9.82950399451734e+002,0.00000000000000e+000
7.07945784384136e+002	9.82177805689879e+002,0.00000000000000e+000
7.24435960074988e+002	9.81371658551128e+002,0.00000000000000e+000
7.41310241300916e+002	9.80530634597484e+002,0.00000000000000e+000
7.58577575029182e+002	9.79653370421071e+002,0.00000000000000e+000
7.76247116628690e+002	9.78738462585652e+002,0.00000000000000e+000
7.94328234724279e+002	9.77784467697482e+002,0.00000000000000e+000
8.12830516164097e+002	9.76789902618904e+002,0.00000000000000e+000
8.31763771102669e+002	9.75753244838744e+002,0.00000000000000e+000
8.51138038202374e+002	9.74672933014272e+002,0.00000000000000e+000
8.70963589956078e+002	9.73547367700203e+002,0.00000000000000e+000
8.91250938133743e+002	9.72374912280699e+002,0.00000000000000e+000
9.12010839355907e+002	9.71153894121065e+002,0.00000000000000e+000
9.33254300796988e+002	9.69882605956130e+002,0.00000000000000e+000
9.54992586021433e+002	9.68559307532877e+002,0.00000000000000e+000
9.77237220955808e+002	9.67182227525029e+002,0.00000000000000e+000
9.99999999999997e+002	9.65749565737601e+002,0.00000000000000e+000
1.02329299228075e+003	9.64259495619342e+002,0.00000000000000e+000
1.04712854805090e+003	9.62710167100915e+002,0.00000000000000e+000
1.07151930523760e+003	9.61099709776362e+002,0.00000000000000e+000
1.09647819614318e+003	9.59426236444725e+002,0.00000000000000e+000
1.12201845430196e+003	9.57687847028097e+002,0.00000000000000e+000
1.14815362149688e+003	9.55882632881168e+002,0.00000000000000e+000
1.17489755493953e+003	9.54008681506149e+002,0.00000000000000e+000
1.20226443461741e+003	9.52064081685126e+002,0.00000000000000e+000
1.23026877081238e+003	9.50046929040167e+002,0.00000000000000e+000
1.25892541179416e+003	9.47955332028927e+002,0.00000000000000e+000
