#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19DF1
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 2.5e+07 Hz
#Steps: 1001
#Resistor: 1000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.59649 V
#Offset: -0.000293363 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.52037 V
#Offset: 0.000204438 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm)
224.3190208311492,-1.849546729579581,1216.86034879495,1216.226393865433
227.1245294573322,-1.869681092012809,1216.682535356122,1216.034798592436
229.9651259624753,-1.899078951336997,1216.740497256963,1216.072201070375
232.8412491829606,-1.920617297198862,1216.624518123639,1215.941043635507
235.7533434435962,-1.944630951684705,1216.581606601665,1215.880960543473
238.701858626267,-1.973129350221028,1216.412617646529,1215.691387538824
241.6872502394275,-1.988810990469164,1216.454365998848,1215.721602247632
244.7099794884796,-2.015658505462077,1216.563917854754,1215.811171275753
247.7705133470179,-2.041061863262405,1216.400860540522,1215.629126127367
250.8693246289732,-2.066789344842026,1216.323951897219,1215.532691675382
254.0068920616562,-2.089335968980172,1216.244003085796,1215.435440042412
257.183700359715,-2.115605591097753,1216.026812379846,1215.19793944506
260.4002403000165,-2.146270210481009,1215.959474978202,1215.10644979708
263.6570087974658,-2.171409135148146,1215.973349354237,1215.100216890295
266.9545089817751,-2.197755167259573,1215.916326564832,1215.021922428885
270.2932502751869,-2.223435085024703,1215.863746863226,1214.948361306419
273.673748471177,-2.250865444007844,1215.787638915865,1214.84958959018
277.0965258141359,-2.281797366365716,1215.657209925057,1214.693308509636
280.5621110800503,-2.305361781603555,1215.687871212761,1214.703936213261
284.0710396581915,-2.336663252589312,1215.595387150585,1214.584632272695
287.6238536338266,-2.36643536622091,1215.43672877757,1214.400192153215
291.221101871964,-2.398027380920773,1215.279875875193,1214.215620325428
294.8633401021459,-2.42119587156892,1215.161976756156,1214.077165626653
298.5511310043015,-2.449065159432919,1215.134267220009,1214.024367957042
